City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,fale old settlement,-9.3852,-171.2468,301.0,77,100,4.57,TK,1697570478
147,sao tome,0.3365,6.7273,299.45,83,43,1.88,ST,1697570478
148,yashikira,9.7667,3.4,299.98,69,100,0.8,NG,1697570478
149,neiafu,-18.65,-173.9833,298.53,78,40,5.66,TO,1697570478
150,ghormach,35.7306,63.7826,292.23,40,100,0.81,AF,1697570478
151,ust-nera,64.5667,143.2,253.72,95,86,1.49,RU,1697570479
152,tluszcz,52.4306,21.4356,280.91,66,91,3.1,PL,1697570479
153,viana do castelo,41.6932,-8.8329,292.46,96,100,8.88,PT,1697570479
154,mo i rana,66.3128,14.1428,275.0,86,0,0.51,NO,1697570479
155,morristown,36.214,-83.2949,287.24,63,100,0.0,US,1697570281
156,hilo,19.7297,-155.09,300.43,70,40,1.79,US,1697570479
157,tralee,52.2704,-9.7026,284.38,92,100,9.13,IE,1697570479
158,longyearbyen,78.2186,15.6401,269.06,58,0,5.14,SJ,1697570452
159,petropavlovsk-kamchatsky,53.0452,158.6483,279.51,88,75,2.24,RU,1697570480
160,lubang,13.8584,120.124,301.39,79,35,9.83,PH,1697570480
161,slave lake,55.2834,-114.769,283.14,87,100,7.2,CA,1697570407
162,utrik,11.2278,169.8474,301.48,77,14,6.66,MH,1697570476
163,fayzabad,37.1166,70.58,287.92,38,100,2.8,AF,1697570480
164,mantua,45.1667,10.7833,286.73,76,100,2.9,IT,1697570481
165,monte carmelo,-18.7247,-47.4986,306.95,24,95,1.02,BR,1697570481
166,myitkyina,25.3833,97.4,293.67,82,0,0.88,MM,1697570481
167,lodja,-3.4833,23.4333,295.13,95,62,0.84,CD,1697570481
168,berdigestyakh,62.0989,126.6992,268.31,69,100,4.47,RU,1697570481
169,jalingo,8.8833,11.3667,297.66,86,84,1.44,NG,1697570481
170,santa cruz,-17.8,-63.1667,310.18,34,20,8.75,BO,1697570236
171,minas de marcona,-15.2119,-75.1103,292.75,65,38,4.83,PE,1697570482
172,nar'yan-mar,67.6713,53.087,274.32,89,100,4.02,RU,1697570482
173,blairgowrie,56.5916,-3.3405,283.66,92,100,0.89,GB,1697570482
